05/07 11:48:03 

Start checking PF & THDI curve.
Vin,Iout,Pin, Pout, PF, THDI
200, 10.0875, 546.3853836, 503.543, 0.9884105, 10.5017252
200, 20.15625, 854.8015137, 1002.148, 0.9846027, 9.8237388
200, 30.075, 1359.8554840, 1493.975, 0.9882929, 6.2763236
200, 40.125, 2083.1391907, 1995.616, 0.9951470, 5.1050257
200, 50.19375, 2384.2369385, 2488.378, 0.9961257, 4.1568685
200, 60.075, 2894.6863403, 2984.045, 0.9975680, 3.9626874
200, 70.1625, 3414.3800964, 3474.096, 0.9983835, 3.4157321
200, 80.23125, 3941.3130798, 3972.283, 0.9988584, 3.0582801
