05/07 11:22:28 

Start checking PF & THDI curve.
Vin,Iout,Pin, Pout, PF, THDI
200, 10.0875, 546.7419052, 502.68, 0.9884725, 10.4045004
200, 20.15625, 856.4701157, 1003.418, 0.9841828, 9.5038444
200, 30.075, 1360.4716492, 1496.231, 0.9884332, 6.4391494
200, 40.125, 2075.5841064, 1992.487, 0.9949686, 5.1571012
200, 50.19375, 2384.6601563, 2493.898, 0.9960405, 4.1502181
200, 60.075, 2896.1173401, 2984.976, 0.9975802, 3.6667656
200, 70.1625, 3414.9712524, 3477.183, 0.9984099, 3.3321913
200, 80.2125, 3940.8032227, 3976.662, 0.9988406, 3.1415630
