05/07 14:24:19 

Start checking PF & THDI curve.
Vin,Iout,Pin, Pout, PF, THDI
200, 10.10625, 546.7185364, 503.644, 0.9887518, 10.7549168
200, 20.15625, 856.2959213, 1004.755, 0.9835287, 9.4944425
200, 30.075, 1359.8024750, 1494.787, 0.9882935, 6.4304344
200, 40.125, 2072.6216736, 1991.363, 0.9953020, 5.1662151
200, 50.19375, 2383.9340820, 2488.706, 0.9961767, 4.3711782
200, 60.09375, 2895.0301208, 2984.766, 0.9976145, 3.9198142
200, 70.1625, 3414.6373291, 3475.289, 0.9984366, 3.4177169
200, 80.25, 3940.5733643, 3976.18, 0.9988888, 3.2166004
