05/07 14:18:26 

Start checking PF & THDI curve.
Vin,Iout,Pin, Pout, PF, THDI
200, 10.10625, 546.5950623, 503.543, 0.9884023, 10.5764501
200, 20.15625, 855.9915543, 1003.908, 0.9845176, 9.8771945
200, 30.075, 1358.1977692, 1493.975, 0.9882229, 6.2787645
200, 40.125, 2082.0999756, 1991.756, 0.9951627, 5.0177127
200, 50.19375, 2383.9572754, 2495.583, 0.9961099, 4.3834280
200, 60.075, 2891.9595032, 2983.955, 0.9974999, 3.8231518
200, 70.1625, 3411.7279358, 3482.305, 0.9983523, 3.3988565
200, 80.25, 3941.0847168, 3974.301, 0.9988507, 3.1461630
