05/07 16:41:00 

Start checking PF & THDI curve.
Vin,Iout,Pin, Pout, PF, THDI
277, 12.075, 650.2740555, 601.938, 0.9720885, 16.5560871
277, 24.15, 1019.0540466, 1201.06, 0.9744055, 13.1082699
277, 36.16875, 1635.7093506, 1797.216, 0.9835808, 9.9502861
277, 48.20625, 2247.2282867, 2393.02, 0.9869974, 7.6955207
277, 60.09375, 3102.5897217, 2979.568, 0.9916968, 5.6181267
277, 72.15, 3481.6161194, 3574.238, 0.9934322, 5.0073572
277, 84.1875, 4114.2326660, 4172.166, 0.9955697, 4.0872980
277, 96.24375, 4750.2678223, 4762.141, 0.9968985, 3.9281949
277, 108.1125, 5385.0277100, 5341.575, 0.9977179, 3.5388764
277, 0.01875, 0.0000000, 0.002, 0.0000000, 1345.1374054
277, 0.0375, 0.0000000, 0.003, 0.0000000, 1406.3678741
277, 0.0375, 0.0000000, 0.003, 0.0000000, 1788.8257980
