05/07 16:42:28 

Start checking PF & THDI curve.
Vin,Iout,Pin, Pout, PF, THDI
277, 10.10625, 545.9000092, 503.917, 0.9673340, 17.3875004
277, 20.175, 855.9359894, 1004.251, 0.9548668, 13.6570156
277, 30.075, 1365.0616150, 1496.531, 0.9812406, 10.7209504
277, 40.14375, 1874.5887909, 1995.215, 0.9855053, 9.4673179
277, 50.25, 2385.1598816, 2491.795, 0.9878828, 7.1111768
277, 60.09375, 3107.8799133, 2980.65, 0.9919906, 5.3611323
277, 70.18125, 3418.3456116, 3479.024, 0.9932915, 4.7022413
277, 80.25, 3947.1638184, 3977.624, 0.9951975, 4.3420963
277, 90.15, 4473.5173340, 4459.874, 0.9964868, 4.0551286
277, 100.18125, 5003.2969971, 4956.518, 0.9973654, 3.6743283
